iter	Passed	Remaining
0	124	124252
1	125	62663
2	127	42289
3	128	31935
4	129	25762
5	130	21604
6	133	18904
7	134	16665
8	136	15084
9	138	13684
10	139	12549
11	140	11581
12	141	10748
13	142	10070
14	144	9467
15	145	8948
16	146	8467
17	147	8041
18	148	7678
19	149	7331
20	150	7029
21	151	6749
22	152	6496
23	154	6292
24	155	6075
25	156	5875
26	157	5682
27	158	5511
28	159	5351
29	161	5213
30	162	5080
31	163	4945
32	164	4822
33	165	4714
34	166	4600
35	168	4499
36	168	4397
37	169	4298
38	170	4206
39	171	4119
40	173	4064
41	174	3988
42	176	3922
43	177	3858
44	178	3790
45	179	3729
46	180	3664
47	181	3601
48	183	3564
49	184	3508
50	186	3471
51	187	3416
52	188	3367
53	189	3319
54	190	3276
55	192	3237
56	193	3195
57	194	3158
58	195	3125
59	196	3084
60	198	3060
61	200	3035
62	203	3026
63	205	3008
64	209	3017
65	211	2995
66	212	2962
67	214	2935
68	215	2904
69	216	2873
70	217	2852
71	220	2837
72	222	2823
73	223	2797
74	224	2768
75	225	2740
76	226	2713
77	228	2706
78	230	2690
79	231	2665
80	232	2641
81	234	2622
82	234	2596
83	236	2575
84	237	2555
85	238	2534
86	239	2514
87	240	2496
88	241	2475
89	242	2456
90	243	2436
91	244	2417
92	246	2405
93	247	2388
94	249	2372
95	250	2354
96	251	2337
97	253	2329
98	254	2313
99	256	2304
100	257	2288
101	258	2271
102	259	2257
103	260	2244
104	261	2232
105	263	2219
106	264	2203
107	265	2190
108	266	2178
109	267	2166
110	268	2153
111	269	2138
112	270	2124
113	271	2111
114	272	2100
115	274	2088
116	274	2074
117	275	2062
118	277	2051
119	278	2041
120	279	2030
121	280	2019
122	282	2012
123	283	2004
124	285	2000
125	287	1991
126	288	1979
127	289	1969
128	290	1960
129	291	1952
130	293	1943
131	294	1934
132	295	1924
133	296	1917
134	297	1908
135	299	1901
136	300	1891
137	301	1882
138	302	1874
139	303	1865
140	304	1856
141	305	1846
142	306	1837
143	307	1828
144	308	1821
145	309	1812
146	310	1803
147	312	1799
148	313	1791
149	314	1784
150	316	1776
151	317	1769
152	318	1764
153	319	1757
